,Start,Duration,End
489,72357,75,72432
490,72551,6,72557
491,72574,10,72584
492,72760,36,72796
493,72808,94,72902
494,72945,29,72974
495,72987,33,73020
496,73122,2,73124
497,73147,61,73208
498,73992,35,74027
499,74101,133,74234
500,74262,110,74372
501,74389,25,74414
502,74423,128,74551
503,74601,34,74635
504,74948,18,74966
505,75057,29,75086
506,75108,55,75163
507,75235,48,75283
508,75520,46,75566
509,75826,9,75835
510,75977,85,76062
511,76282,56,76338
512,76406,100,76506
513,76530,3,76533
514,76557,64,76621
515,76756,93,76849
516,76878,19,76897
517,76964,91,77055
518,77063,79,77142
519,77219,21,77240
520,77333,36,77369
521,77570,30,77600
522,77698,101,77799
523,77820,157,77977
524,78004,66,78070
525,78148,50,78198
526,78370,23,78393
527,78493,3,78496
528,78904,6,78910
529,78930,76,79006
530,79014,10,79024
531,79112,66,79178
532,79209,116,79325
533,79329,7,79336
534,79346,10,79356
535,79452,282,79734
536,79848,2,79850
537,80104,34,80138
538,80244,36,80280
539,80347,53,80400
540,80462,7,80469
541,80553,22,80575
542,80602,90,80692
543,80741,9,80750
544,80751,29,80780
545,80853,110,80963
546,80969,3,80972
547,81133,11,81144
548,81272,90,81362
549,81571,3,81574
550,81620,70,81690
551,82059,23,82082
552,82411,6,82417
553,82544,28,82572
554,82629,7,82636
555,82795,216,83011
556,83109,50,83159
557,83395,96,83491
558,83555,61,83616
559,83699,84,83783
560,83789,12,83801
561,83827,19,83846
562,83857,33,83890
563,84100,138,84238
564,84274,64,84338
565,84391,30,84421
566,84490,5,84495
567,84606,74,84680
568,84837,109,84946
569,84947,36,84983
570,85027,21,85048
571,85201,78,85279
572,85323,1,85324
573,85473,118,85591
574,85746,46,85792
575,85803,98,85901
576,86059,96,86155
577,86521,1,86522
578,86698,201,86899
579,87086,46,87132
580,87137,49,87186
581,87187,96,87283
582,87382,129,87511
583,87597,103,87700
584,87877,93,87970
585,88052,32,88084
586,88251,3,88254
587,88465,17,88482
588,88770,21,88791
589,88838,266,89104
590,89143,38,89181
591,89383,54,89437
592,89468,1,89469
593,89494,35,89529
594,89695,104,89799
595,89853,40,89893
596,89920,22,89942
597,90006,44,90050
598,90073,5,90078
599,90111,10,90121
600,90396,21,90417
601,90488,47,90535
602,90635,32,90667
603,90892,62,90954
604,90997,14,91011
605,91076,125,91201
606,91205,68,91273
607,91445,18,91463
608,91685,4,91689
609,91780,79,91859
610,91881,74,91955
611,92046,57,92103
612,92234,25,92259
613,92329,95,92424
614,92426,29,92455
615,92622,26,92648
616,92705,66,92771
617,92876,13,92889
618,92941,2,92943
619,93097,26,93123
620,93259,89,93348
621,93567,7,93574
622,93588,62,93650
623,93700,50,93750
624,93773,20,93793
625,93995,59,94054
626,94081,20,94101
627,94141,39,94180
628,94217,146,94363
629,94669,10,94679
630,94701,33,94734
631,94796,184,94980
632,95214,34,95248
633,95270,57,95327
634,95883,218,96101
635,96154,82,96236
636,96275,6,96281
637,96310,153,96463
638,96471,45,96516
639,96525,118,96643
640,96815,57,96872
641,96931,58,96989
642,97001,19,97020
643,97296,15,97311
644,97358,28,97386
645,97521,108,97629
646,97681,145,97826
647,98154,75,98229
648,98238,12,98250
649,98422,58,98480
650,98581,4,98585
651,98774,47,98821
652,98902,14,98916
653,98925,69,98994
654,99078,14,99092
655,99254,26,99280
656,99489,85,99574
657,99620,26,99646
658,99661,158,99819
659,99832,8,99840
660,99989,6,99995
661,100016,62,100078
662,100170,108,100278
663,100327,32,100359
664,100430,27,100457
665,100546,1,100547
666,100551,60,100611
667,100831,15,100846
668,100882,89,100971
669,101004,147,101151
670,101255,39,101294
671,101474,70,101544
672,101561,106,101667
673,101765,3,101768
674,101771,22,101793
675,101824,56,101880
676,101930,55,101985
677,102055,116,102171
678,102331,48,102379
679,102705,5,102710
680,102888,13,102901
681,103131,3,103134
682,103208,49,103257
683,103407,121,103528
684,103542,11,103553
685,103580,14,103594
686,103701,6,103707
687,103759,19,103778
688,103925,62,103987
689,104083,44,104127
690,104485,9,104494
691,104576,5,104581
692,104669,91,104760
693,104938,5,104943
694,104945,11,104956
695,104970,14,104984
696,104991,164,105155
697,105363,118,105481
698,105652,30,105682
699,105725,39,105764
700,105888,34,105922
701,105957,111,106068
702,106150,97,106247
703,106271,70,106341
704,106388,4,106392
705,106423,5,106428
706,106474,22,106496
707,106520,78,106598
708,106607,80,106687
709,106695,30,106725
710,106781,19,106800
711,106834,28,106862
712,107000,14,107014
713,107112,18,107130
714,107264,11,107275
715,107646,33,107679
716,107680,80,107760
717,107810,12,107822
718,107831,26,107857
719,107947,75,108022
720,108130,21,108151
721,108190,65,108255
722,108310,4,108314
723,108389,12,108401
724,108469,17,108486
725,108489,12,108501
726,108519,58,108577
727,108643,76,108719
728,108784,57,108841
729,108898,9,108907
730,108943,90,109033
731,109061,34,109095
732,109205,8,109213
733,109231,33,109264
734,109292,28,109320
735,109652,9,109661
736,109747,23,109770
737,109880,156,110036
738,110095,43,110138
739,110163,86,110249
740,110270,26,110296
741,110397,240,110637
742,110668,143,110811
743,111071,87,111158
744,111352,20,111372
745,111396,13,111409
746,111435,38,111473
747,111666,49,111715
748,111802,40,111842
749,111920,164,112084
750,112126,63,112189
751,112218,60,112278
752,112469,16,112485
753,112546,55,112601
754,112652,52,112704
755,112730,15,112745
756,112763,23,112786
757,112787,49,112836
758,112978,14,112992
759,113014,60,113074
760,113234,11,113245
761,113293,43,113336
762,113429,92,113521
763,113604,18,113622
764,113664,3,113667
765,113917,49,113966
766,114364,156,114520
767,114547,14,114561
768,114564,84,114648
769,114658,105,114763
770,114764,7,114771
771,114792,48,114840
772,114932,10,114942
773,114969,1,114970
774,115048,7,115055
775,115077,35,115112
776,115210,76,115286
777,115292,60,115352
778,115425,30,115455
779,115463,57,115520
780,115668,45,115713
781,116147,136,116283
782,116291,12,116303
783,116334,107,116441
784,116474,4,116478
785,116510,3,116513
786,116785,90,116875
787,117079,28,117107
788,117212,14,117226
789,117307,67,117374
790,117411,242,117653
791,117794,46,117840
792,117861,24,117885
793,117963,59,118022
794,118040,153,118193
795,118200,85,118285
796,118460,47,118507
797,118518,37,118555
798,118664,5,118669
799,118768,36,118804
800,119045,65,119110
801,119149,103,119252
802,119271,7,119278
803,119331,92,119423
804,119655,13,119668
805,119699,33,119732
806,119821,21,119842
807,119876,18,119894
808,119953,32,119985
809,120096,10,120106
810,120343,164,120507
811,120532,24,120556
812,120663,4,120667
813,120880,103,120983
814,121018,32,121050
815,121072,200,121272
816,121539,76,121615
817,121624,32,121656
818,121967,4,121971
819,122033,7,122040
820,122051,55,122106
821,122272,1,122273
822,122437,171,122608
823,122754,52,122806
824,122869,2,122871
825,122953,16,122969
826,123142,3,123145
827,123201,30,123231
828,123256,20,123276
829,123354,61,123415
830,123540,49,123589
831,123620,167,123787
832,123814,20,123834
833,123951,112,124063
834,124304,106,124410
835,124449,7,124456
836,124480,27,124507
837,124546,26,124572
838,124644,23,124667
839,124688,113,124801
840,124823,209,125032
841,125043,16,125059
842,125080,29,125109
843,125135,46,125181
844,125260,144,125404
845,125447,57,125504
846,125518,25,125543
847,125647,24,125671
848,125711,27,125738
849,125872,78,125950
850,126006,137,126143
851,126296,43,126339
852,126381,49,126430
853,126557,63,126620
854,126812,62,126874
855,126950,50,127000
856,127132,75,127207
857,127235,144,127379
858,127380,47,127427
859,127878,63,127941
860,128036,13,128049
861,128054,20,128074
862,128211,117,128328
863,128462,31,128493
864,128504,74,128578
865,128585,30,128615
866,128629,19,128648
867,128654,141,128795
868,128814,48,128862
869,128967,10,128977
870,129128,77,129205
871,129217,18,129235
872,129533,65,129598
873,129801,18,129819
874,129908,16,129924
875,130040,12,130052
876,130256,28,130284
877,130380,15,130395
878,130512,33,130545
879,130582,28,130610
880,130726,65,130791
881,130930,8,130938
882,131286,11,131297
883,131426,80,131506
884,131589,96,131685
885,131729,32,131761
886,131840,61,131901
887,131940,94,132034
888,132102,179,132281
889,132356,103,132459
890,132594,19,132613
891,132704,10,132714
