,x,SuccessRate,SuccessRateUnmixed,SuccessRateSemiUnmixed,PER,RedundancyUsedMin,RedundancyUsed,RedundancyUsedMax,Lost,WorseDiffRngmixedRlnc,WorseDiffRepeatmixedRlnc
17,0.17254545454545456,0.61,0.07,0.24,0.615,0.0,95.40983606557378,185.0,36.9,0.54,0.37
18,0.18263636363636365,0.56,0.13,0.3,0.6278333333333334,0.0,88.92857142857142,190.0,37.67,0.43000000000000005,0.26000000000000006
19,0.19272727272727275,0.61,0.1,0.27,0.6066666666666667,0.0,91.55737704918033,185.0,36.4,0.51,0.33999999999999997
20,0.20281818181818184,0.62,0.09,0.25,0.6043333333333334,0.0,93.62903225806453,195.0,36.26,0.53,0.37
21,0.2129090909090909,0.67,0.07,0.26,0.5903333333333334,0.0,93.13432835820896,200.0,35.42,0.6000000000000001,0.41000000000000003
22,0.223,0.69,0.08,0.22,0.589,0.0,102.68115942028987,200.0,35.34,0.61,0.47
23,0.2330909090909091,0.78,0.08,0.2,0.5660000000000001,0.0,98.01282051282051,190.0,33.96,0.7000000000000001,0.5800000000000001
24,0.2431818181818182,0.68,0.11,0.18,0.5985,0.0,102.05882352941175,200.0,35.91,0.5700000000000001,0.5
25,0.25327272727272726,0.64,0.07,0.17,0.6041666666666666,0.0,105.625,200.0,36.25,0.5700000000000001,0.47
26,0.26336363636363636,0.62,0.08,0.16,0.6081666666666666,0.0,106.04838709677419,200.0,36.49,0.54,0.45999999999999996
27,0.27345454545454545,0.61,0.08,0.12,0.616,0.0,104.50819672131149,200.0,36.96,0.53,0.49
28,0.28354545454545454,0.69,0.04,0.17,0.6063333333333334,0.0,113.26086956521738,200.0,36.38,0.6499999999999999,0.5199999999999999
29,0.29363636363636364,0.71,0.08,0.13,0.5995,15.0,112.74647887323945,200.0,35.97,0.63,0.58
30,0.30372727272727273,0.62,0.07,0.13,0.6123333333333333,0.0,102.09677419354838,195.0,36.74,0.55,0.49
31,0.31381818181818183,0.74,0.09,0.17,0.5735,0.0,104.05405405405406,200.0,34.41,0.65,0.57
32,0.3239090909090909,0.71,0.08,0.17,0.5888333333333333,0.0,105.84507042253522,200.0,35.33,0.63,0.5399999999999999
33,0.334,0.65,0.07,0.13,0.5988333333333333,0.0,111.23076923076924,200.0,35.93,0.5800000000000001,0.52
34,0.3440909090909091,0.67,0.07,0.08,0.6055,0.0,115.37313432835822,200.0,36.33,0.6000000000000001,0.5900000000000001
35,0.3541818181818182,0.65,0.04,0.12,0.6023333333333334,30.0,120.61538461538461,200.0,36.14,0.61,0.53
36,0.3642727272727273,0.76,0.08,0.07,0.5943333333333334,15.0,119.9342105263158,200.0,35.66,0.68,0.69
37,0.3743636363636364,0.72,0.02,0.06,0.6046666666666667,15.0,119.93055555555554,200.0,36.28,0.7,0.6599999999999999
38,0.3844545454545455,0.62,0.01,0.07,0.622,20.0,120.3225806451613,200.0,37.32,0.61,0.55
39,0.3945454545454546,0.66,0.09,0.06,0.6035,15.0,117.1969696969697,200.0,36.21,0.5700000000000001,0.6000000000000001
40,0.4046363636363637,0.74,0.07,0.16,0.5905,10.0,117.36486486486486,200.0,35.43,0.6699999999999999,0.58
41,0.4147272727272727,0.73,0.05,0.07,0.5858333333333333,15.0,114.72602739726028,200.0,35.15,0.6799999999999999,0.6599999999999999
42,0.4248181818181818,0.7,0.01,0.05,0.6033333333333334,15.0,120.42857142857142,200.0,36.2,0.69,0.6499999999999999
43,0.4349090909090909,0.73,0.05,0.05,0.6103333333333334,25.0,129.65753424657532,200.0,36.62,0.6799999999999999,0.6799999999999999
44,0.445,0.74,0.04,0.05,0.6126666666666667,25.0,124.66216216216216,200.0,36.76,0.7,0.69
45,0.4550909090909091,0.74,0.05,0.09,0.5955,15.0,119.79729729729729,200.0,35.73,0.69,0.65
46,0.4651818181818182,0.75,0.09,0.04,0.5866666666666667,10.0,118.33333333333334,195.0,35.2,0.66,0.71
47,0.4752727272727273,0.72,0.02,0.03,0.5966666666666667,15.0,120.48611111111111,195.0,35.8,0.7,0.69
