,Redundancy,SuccessRate,PER
180,58.0,1.0000000000000044,0.2
181,59.0,1.0000000000000042,0.2
182,60.0,1.0000000000000044,0.2
183,0.0,0.0007979226629760694,0.3
184,1.0,0.005585458640832819,0.3
185,2.0,0.02066619697108152,0.3
186,3.0,0.05384382129762855,0.3
187,4.0,0.11107522326092212,0.3
188,5.0,0.19348844208806493,0.3
189,6.0,0.29650496562199335,0.3
190,7.0,0.4112948061312278,0.3
191,8.0,0.527519519646828,0.3
192,9.0,0.6359959189280547,0.3
193,10.0,0.7303703863027219,0.3
194,11.0,0.8075858596092678,0.3
195,12.0,0.867427851421841,0.3
196,13.0,0.9116188607603563,0.3
197,14.0,0.9428682173640208,0.3
198,15.0,0.9641177798545126,0.3
199,16.0,0.978062805238898,0.3
200,17.0,0.9869219978360367,0.3
201,18.0,0.9923851666042722,0.3
202,19.0,0.9956630678652135,0.3
203,20.0,0.9975806401028642,0.3
204,21.0,0.9986763956672358,0.3
205,22.0,0.9992890226418621,0.3
206,23.0,0.9996246356801354,0.3
207,24.0,0.9998050276882071,0.3
208,25.0,0.9999002746684694,0.3
209,26.0,0.9999497298312977,0.3
210,27.0,0.9999750069145207,0.3
211,28.0,0.9999877357314297,0.3
212,29.0,0.9999940562474119,0.3
213,30.0,0.9999971533002432,0.3
214,31.0,0.9999986518741938,0.3
215,32.0,0.999999368379864,0.3
216,33.0,0.9999997070916353,0.3
217,34.0,0.9999998654891987,0.3
218,35.0,0.9999999388046426,0.3
219,36.0,0.9999999724075543,0.3
220,37.0,0.9999999876650927,0.3
221,38.0,0.9999999945309844,0.3
222,39.0,0.9999999975942286,0.3
223,40.0,0.9999999989497143,0.3
224,41.0,0.9999999995448053,0.3
225,42.0,0.9999999998040954,0.3
226,43.0,0.9999999999162527,0.3
227,44.0,0.9999999999644302,0.3
228,45.0,0.9999999999849853,0.3
229,46.0,0.9999999999936988,0.3
230,47.0,0.9999999999973698,0.3
231,48.0,0.9999999999989069,0.3
232,49.0,0.9999999999995468,0.3
233,50.0,0.9999999999998118,0.3
234,51.0,0.999999999999921,0.3
235,52.0,0.9999999999999655,0.3
236,53.0,0.9999999999999837,0.3
237,54.0,0.999999999999991,0.3
238,55.0,0.9999999999999939,0.3
239,56.0,0.999999999999995,0.3
240,57.0,0.9999999999999954,0.3
241,58.0,0.9999999999999954,0.3
242,59.0,0.9999999999999957,0.3
243,60.0,0.9999999999999953,0.3
244,0.0,3.656158440068502e-05,0.4
245,1.0,0.0003290542596057211,0.4
246,2.0,0.0015575234954667838,0.4
247,3.0,0.005161033253992864,0.4
248,4.0,0.013449105698602803,0.4
249,5.0,0.029362204792253932,0.4
250,6.0,0.05588403661500585,0.4
251,7.0,0.09528790103738005,0.4
252,8.0,0.14848311800758518,0.4
253,9.0,0.2146816102371738,0.4
254,10.0,0.2914718612234968,0.4
255,11.0,0.37524304411766707,0.4
256,12.0,0.4618065997749764,0.4
257,13.0,0.5470384084221734,0.4
258,14.0,0.6273998280038161,0.4
259,15.0,0.7002608484245055,0.4
260,16.0,0.764014241292609,0.4
261,17.0,0.8180171152514729,0.4
262,18.0,0.8624194782843169,0.4
263,19.0,0.8979413687105918,0.4
264,20.0,0.925648443243086,0.4
265,21.0,0.946758595267844,0.4
266,22.0,0.9624952540499361,0.4
267,23.0,0.9739898569864209,0.4
268,24.0,0.982227655757568,0.4
269,25.0,0.9880270660924558,0.4
270,26.0,0.9920420424781473,0.4
271,27.0,0.9947781745335815,0.4
272,28.0,0.9966152917708014,0.4
273,29.0,0.9978315900795818,0.4
274,30.0,0.9986262383079846,0.4
275,31.0,0.9991389145843741,0.4
276,32.0,0.9994657457105725,0.4
277,33.0,0.999671748359812,0.4
278,34.0,0.9998001970705146,0.4
279,35.0,0.999879468274834,0.4
280,36.0,0.9999279117885846,0.4
281,37.0,0.999957239753666,0.4
282,38.0,0.9999748365327147,0.4
283,39.0,0.9999853043602517,0.4
284,40.0,0.9999914803784985,0.4
285,41.0,0.9999950956086917,0.4
286,42.0,0.9999971958852797,0.4
287,43.0,0.9999984072075917,0.4
288,44.0,0.9999991009649154,0.4
289,45.0,0.9999994956357485,0.4
290,46.0,0.9999997187105674,0.4
291,47.0,0.9999998440121673,0.4
292,48.0,0.9999999139722278,0.4
293,49.0,0.9999999528072,0.4
294,50.0,0.9999999742441044,0.4
295,51.0,0.9999999860133858,0.4
296,52.0,0.9999999924412234,0.4
297,53.0,0.9999999959340868,0.4
298,54.0,0.9999999978228196,0.4
299,55.0,0.9999999988393018,0.4
300,56.0,0.9999999993838455,0.4
301,57.0,0.9999999996742691,0.4
302,58.0,0.999999999828494,0.4
303,59.0,0.99999999991005,0.4
304,60.0,0.999999999953003,0.4
305,0.0,9.5367431640625e-07,0.5
306,1.0,1.049041748046875e-05,0.5
307,2.0,6.0558319091796875e-05,0.5
308,3.0,0.000244140625,0.5
309,4.0,0.000771939754486084,0.5
310,5.0,0.0020386576652526855,0.5
311,6.0,0.0046776533126831055,0.5
312,7.0,0.0095786452293396,0.5
313,8.0,0.017849069088697433,0.5
314,9.0,0.03071417286992073,0.5
315,10.0,0.04936857335269451,0.5
316,11.0,0.07480639219284058,0.5
317,12.0,0.10766357486136258,0.5
318,13.0,0.1481031842995435,0.5
319,14.0,0.19576415256597102,0.5
320,15.0,0.24977991660125554,0.5
321,16.0,0.308859658514848,0.5
322,17.0,0.3714146793645341,0.5
323,18.0,0.43570733968226705,0.5
324,19.0,0.5,0.5
325,20.0,0.5626853438097896,0.5
326,21.0,0.6223856712476845,0.5
327,22.0,0.6780155218148138,0.5
328,23.0,0.728807994071758,0.5
329,24.0,0.7743095838019372,0.5
330,25.0,0.8143509827644948,0.5
331,26.0,0.8490021934051697,0.5
332,27.0,0.8785198913583372,0.5
333,28.0,0.9032936735690313,0.5
334,29.0,0.923796114019261,0.5
335,30.0,0.9405397737202819,0.5
336,31.0,0.9540427250920729,0.5
337,32.0,0.9648028894664689,0.5
338,33.0,0.9732805947311445,0.5
339,34.0,0.9798882179521415,0.5
340,35.0,0.9849855272940538,0.5
341,36.0,0.9888793052635699,0.5
342,37.0,0.9918259480513119,0.5
343,38.0,0.9940359301421182,0.5
344,39.0,0.9956792501583592,0.5
345,40.0,0.9968911986703365,0.5
346,41.0,0.9977779902644667,0.5
347,42.0,0.9984219698744896,0.5
348,43.0,0.9988862342445058,0.5
349,44.0,0.9992186053275861,0.5
350,45.0,0.9994549580977763,0.5
351,46.0,0.9996219464680193,0.5
352,47.0,0.999739193621594,0.5
353,48.0,0.9998210223641936,0.5
354,49.0,0.9998778014917111,0.5
355,50.0,0.9999169790896982,0.5
356,51.0,0.9999438656765525,0.5
357,52.0,0.9999622209425778,0.5
358,53.0,0.9999746886704444,0.5
359,54.0,0.9999831159309464,0.5
360,55.0,0.9999887851789203,0.5
361,56.0,0.999992581550332,0.5
362,57.0,0.9999951124646063,0.5
363,58.0,0.9999967924680466,0.5
364,59.0,0.9999979029787954,0.5
365,60.0,0.9999986340650385,0.5
366,0.0,1.0995116261902638e-08,0.6
367,1.0,1.429365116267789e-07,0.6
368,2.0,9.741673021590458e-07,0.6
369,3.0,4.6315827808562915e-06,0.6
370,4.0,1.7249666182106438e-05,0.6
371,5.0,5.358974637781344e-05,0.6
372,6.0,0.00014443994686708095,0.6
373,7.0,0.000346906107957512,0.6
374,8.0,0.0007569000841655127,0.6
375,9.0,0.0015222221730870622,0.6
376,10.0,0.0028538826078107205,0.6
377,11.0,0.0050329633191766865,0.6
378,12.0,0.008410538421793845,0.6
379,13.0,0.013398957034889913,0.6
380,14.0,0.020454006216268694,0.6
381,15.0,0.030048873102943907,0.6
382,16.0,0.04264213589170507,0.6
383,17.0,0.058642987435072125,0.6
384,18.0,0.0783773710052249,0.6
385,19.0,0.10205863128940829,0.6
386,20.0,0.12976570582190272,0.6
387,21.0,0.1614309338590394,0.6
388,22.0,0.19683841611874653,0.6
389,23.0,0.23563270102938239,0.6
390,24.0,0.27733655730831575,0.6
391,25.0,0.32137582953886956,0.6
392,26.0,0.3671089199321368,0.6
393,27.0,0.41385830122303213,0.6
394,28.0,0.4609416066660055,0.6
395,29.0,0.5077001996576479,0.6
396,30.0,0.5535236207894579,0.6
397,31.0,0.5978688670460478,0.6
398,32.0,0.6402740087789118,0.6
399,33.0,0.6803661427808924,0.6
400,34.0,0.7178640798768623,0.6
401,35.0,0.7525764559314174,0.6
402,36.0,0.7843961339814266,0.6
403,37.0,0.8132918416160292,0.6
404,38.0,0.8392979784871717,0.6
405,39.0,0.8625034544644986,0.6
406,40.0,0.883040300704433,0.6
407,41.0,0.9010726535004732,0.6
408,42.0,0.9167865609370222,0.6
409,43.0,0.9303809180681765,0.6
410,44.0,0.9420597066944861,0.6
411,45.0,0.9520256063222705,0.6
412,46.0,0.9604749560066969,0.6
413,47.0,0.9675939825493188,0.6
414,48.0,0.9735561672787651,0.6
415,49.0,0.9785205986453249,0.6
416,50.0,0.9826311478168358,0.6
417,51.0,0.9860163059580808,0.6
418,52.0,0.9887895316661001,0.6
419,53.0,0.9910499722432029,0.6
420,54.0,0.9928834407112973,0.6
421,55.0,0.9943635498019046,0.6
422,56.0,0.9955529231782853,0.6
423,57.0,0.99650442187939,0.6
424,58.0,0.9972623398102699,0.6
425,59.0,0.9978635357283234,0.6
426,60.0,0.9983384805035861,0.6
427,0.0,3.486788635598259e-11,0.7
428,1.0,5.230176292059241e-10,0.7
429,2.0,4.110918827571197e-09,0.7
430,3.0,2.2528811371991253e-08,0.7
431,4.0,9.666082889658867e-08,0.7
432,5.0,3.457444079923988e-07,0.7
433,6.0,1.0722381801331338e-06,0.7
434,7.0,2.961121987721249e-06,0.7
435,8.0,7.423609983070456e-06,0.7
436,9.0,1.714191717305802e-05,0.7
437,10.0,3.6870080768802715e-05,0.7
438,11.0,7.453293854242649e-05,0.7
439,12.0,0.00014263993968299804,0.7
440,13.0,0.0002599935416482957,0.7
441,14.0,0.0004536269848911534,0.7
442,15.0,0.0007608587148363322,0.7
443,16.0,0.0012313073013149323,0.7
444,17.0,0.0019286781471539172,0.7
445,18.0,0.002932117308666604,0.7
446,19.0,0.004336932134784366,0.7
447,20.0,0.006254504372435021,0.7
448,21.0,0.008811267355969377,0.7
449,22.0,0.012146680884489114,0.7
450,23.0,0.016410209481814264,0.7
451,24.0,0.02175738493095969,0.7
452,25.0,0.028345105084306765,0.7
453,26.0,0.03632638142393885,0.7
454,27.0,0.04584479246601858,0.7
455,28.0,0.05702892544046234,0.7
456,29.0,0.06998709330050745,0.7
457,30.0,0.08480259855382566,0.7
458,31.0,0.10152978190434636,0.7
459,32.0,0.12019104582977091,0.7
460,33.0,0.14077498543236033,0.7
461,34.0,0.16323569599871546,0.7
462,35.0,0.18749326341037875,0.7
463,36.0,0.2134353841145189,0.7
464,37.0,0.2409200092929591,0.7
465,38.0,0.2697788657303215,0.7
466,39.0,0.2998216752522934,0.7
467,40.0,0.3308408760837295,0.7
468,41.0,0.3626166427891029,0.7
469,42.0,0.3949220056062328,0.7
470,43.0,0.42752788342631254,0.7
471,44.0,0.46020786551416526,0.7
472,45.0,0.4927426032371831,0.7
473,46.0,0.5249237025066897,0.7
474,47.0,0.5565570383843754,0.7
475,48.0,0.5874654436481973,0.7
476,49.0,0.617490751618767,0.7
477,50.0,0.6464951991183372,0.7
478,51.0,0.6743622173041988,0.7
479,52.0,0.7009966558395319,0.7
480,53.0,0.7263244992769055,0.7
481,54.0,0.7502921437148644,0.7
482,55.0,0.7728653070218869,0.7
483,56.0,0.7940276476222217,0.7
484,57.0,0.813779165515867,0.7
485,58.0,0.8321344554204785,0.7
486,59.0,0.8491208762474584,0.7
487,60.0,0.8647766941096574,0.7
488,0.0,1.0436096431476471e-14,0.8
489,1.0,1.7830181775480014e-13,0.8
490,2.0,1.5875079029115113e-12,0.8
491,3.0,9.855338767295052e-12,0.8
492,4.0,4.788724972115688e-11,0.8
493,5.0,1.9392987216093616e-10,0.8
494,6.0,6.807386876417354e-10,0.8
495,7.0,2.1272561490093267e-09,0.8
496,8.0,6.032853439030816e-09,0.8
497,9.0,1.575345098814296e-08,0.8
498,10.0,3.830523742642811e-08,0.8
499,11.0,8.750913504940172e-08,0.8
500,12.0,1.8919719002585822e-07,0.8
501,13.0,3.894444368102157e-07,0.8
502,14.0,7.670535306925075e-07,0.8
503,15.0,1.4517846876893614e-06,0.8
504,16.0,2.6500642125171225e-06,0.8
505,17.0,4.680090701536521e-06,0.8
506,18.0,8.018356483452393e-06,0.8
507,19.0,1.3359581734539994e-05,0.8
508,20.0,2.16918931262855e-05,0.8
509,21.0,3.4388748580416184e-05,0.8
510,22.0,5.331860580282122e-05,0.8
511,23.0,8.0972658093037e-05,0.8
512,24.0,0.00012061013304232038,0.8
513,25.0,0.00017641969777082434,0.8
514,26.0,0.000253694479702693,0.8
515,27.0,0.00035901714544672725,0.8
516,28.0,0.0005004504394460207,0.8
517,29.0,0.0006877276287415857,0.8
518,30.0,0.0009324364894210957,0.8
519,31.0,0.001248189858039872,0.8
520,32.0,0.0016507754030288257,0.8
521,33.0,0.0021582771809541823,0.8
522,34.0,0.002791161751072968,0.8
523,35.0,0.003572322134762329,0.8
524,36.0,0.00452707371482719,0.8
525,37.0,0.005683097249608471,0.8
526,38.0,0.007070325491346008,0.8
527,39.0,0.008720771399464367,0.8
528,40.0,0.01066829757104415,0.8
529,41.0,0.012948328210942384,0.8
530,42.0,0.015597506668728944,0.8
531,43.0,0.018653303215385053,0.8
532,44.0,0.0221535792597366,0.8
533,45.0,0.02613611555908779,0.8
534,46.0,0.030638113114875964,0.8
535,47.0,0.03569567632648474,0.8
536,48.0,0.04134328857944802,0.8
537,49.0,0.047613290754166426,0.8
538,50.0,0.05453537315505552,0.8
539,51.0,0.06213609108544349,0.8
540,52.0,0.0704384137478673,0.8
541,53.0,0.07946131535835055,0.8
542,54.0,0.08921941635931763,0.8
543,55.0,0.09972268143672214,0.8
544,56.0,0.11097617973394136,0.8
545,57.0,0.12297991125097518,0.8
546,58.0,0.13572870196561793,0.8
547,59.0,0.14921216875534182,0.8
548,60.0,0.16341475377385084,0.8
