,x,SuccessRate,PER,RedundancyUsed
69,0.006397941554365761,0.67,0.377,179.89999999999998
70,0.006795395920083764,0.77,0.28375,177.45
71,0.007217541035394573,0.61,0.435375,180.24999999999997
72,0.007665910744603449,0.63,0.440125,169.6
73,0.008142134177836926,0.7,0.37752056962025315,166.14999999999998
74,0.008647941670410027,0.53,0.539625,167.7
75,0.00918517104991782,0.68,0.38175,173.09999999999997
76,0.00975577431389502,0.69,0.43674999999999997,146.84999999999997
77,0.010361824722306642,0.67,0.40725,163.55
78,0.011005524330640075,0.71,0.402625,152.35
79,0.01168921199096948,0.78,0.39087500000000003,131.6
80,0.012415371850064118,0.71,0.39325,155.35
81,0.013186642375418186,0.71,0.42494620253164556,141.4
82,0.0140058259419976,0.59,0.5029398734177215,154.45
83,0.01487589901453681,0.75,0.3635,156.25
84,0.01580002296238269,0.75,0.35881962025316455,152.45
85,0.01678155554618045,0.75,0.36823259493670885,148.85000000000002
86,0.017824063118138053,0.79,0.34325,142.95000000000002
87,0.018931333580198308,0.66,0.44202848101265824,151.55
88,0.020107390147201372,0.6,0.4893370253164557,151.25
89,0.02135650596504545,0.74,0.39934177215189876,141.4
90,0.022683219636960388,0.67,0.47,140.2
91,0.024092351714307694,0.8,0.3955316455696202,117.7
92,0.02558902221182593,0.84,0.330875,129.65
93,0.027178669210961924,0.73,0.424875,138.85000000000002
94,0.02886706861888258,0.81,0.386375,113.2
95,0.030660355154960264,0.62,0.5737136075949367,115.15
96,0.032565044640985315,0.76,0.4595759493670886,107.1
97,0.034588057676096434,0.8,0.4610901898734177,97.25000000000001
98,0.03673674478245019,0.71,0.4917373417721519,113.0
99,0.039018913112995386,0.88,0.322625,115.3
100,0.04144285481839419,0.84,0.3818908227848101,104.65
101,0.044017377176159146,0.87,0.3738876582278481,98.2
102,0.04675183459147926,0.91,0.403003164556962,72.54999999999998
103,0.04965616258600892,0.84,0.43108069620253164,88.24999999999999
104,0.05274091389811564,0.9,0.3262025316455696,104.6
105,0.05601729682575577,0.85,0.37978164556962024,102.39999999999999
106,0.05949721595129467,0.85,0.40192246835443035,92.85
107,0.06319331539624383,0.89,0.4085,75.7
108,0.06711902476307809,0.86,0.4110348101265823,84.4
109,0.07128860793106066,0.94,0.3812974683544304,73.64999999999999
110,0.075717214883374,0.91,0.38819778481012657,75.15
111,0.08042093675386683,0.92,0.3882183544303797,75.10000000000001
112,0.08541686429342746,0.85,0.433125,79.69999999999999
113,0.09072314996841904,0.85,0.43385443037974686,79.65
114,0.09635907391680712,0.98,0.3847136075949367,55.35
115,0.10234511400162855,0.95,0.39963291139240503,56.19999999999999
116,0.10870302021633851,0.97,0.3759398734177215,62.54999999999999
117,0.11545589371238267,0.94,0.4081392405063291,59.04999999999999
118,0.12262827073613754,0.95,0.38815506329113925,66.85
