,x,SuccessRate,SuccessRateUnmixed,SuccessRateSemiUnmixed,PER,RedundancyUsedMin,RedundancyUsed,RedundancyUsedMax,Lost,WorseDiffRngmixedRlnc,WorseDiffRepeatmixedRlnc
89,0.8990909090909092,0.847,0.009,0.012,0.602,35.0,137.65053128689493,200.0,36.12,0.838,0.835
90,0.9091818181818182,0.843,0.014,0.013,0.6030833333333333,30.0,137.78766310794782,200.0,36.185,0.829,0.83
91,0.9192727272727274,0.855,0.011,0.008,0.5998666666666667,55.0,135.9766081871345,200.0,35.992,0.844,0.847
92,0.9293636363636364,0.893,0.009,0.011,0.5943833333333334,45.0,136.65733482642776,200.0,35.663,0.884,0.882
93,0.9394545454545455,0.86,0.012,0.007,0.6009666666666666,35.0,138.2674418604651,200.0,36.058,0.848,0.853
94,0.9495454545454546,0.887,0.012,0.013,0.59865,55.0,139.85907553551297,200.0,35.919,0.875,0.874
95,0.9596363636363637,0.868,0.004,0.005,0.6014833333333334,50.0,139.03801843317973,200.0,36.089,0.864,0.863
96,0.9697272727272728,0.868,0.005,0.007,0.6001166666666666,25.0,138.99193548387095,200.0,36.007,0.863,0.861
97,0.9798181818181818,0.882,0.011,0.004,0.59685,40.0,137.13151927437642,200.0,35.811,0.871,0.878
98,0.989909090909091,0.888,0.01,0.008,0.5978833333333333,40.0,139.3018018018018,200.0,35.873,0.878,0.88
99,1.0,0.887,0.009,0.01,0.5991333333333333,35.0,140.1183765501691,200.0,35.948,0.878,0.877
