,Start,Duration,End
410,51251,8,51259
411,51289,5,51294
412,51360,14,51374
413,51420,15,51435
414,51503,14,51517
415,51523,19,51542
416,51583,73,51656
417,51736,9,51745
418,51826,14,51840
419,51971,5,51976
420,52051,14,52065
421,52156,6,52162
422,52245,27,52272
423,52382,18,52400
424,52414,21,52435
425,52756,81,52837
426,53484,36,53520
427,53727,41,53768
428,53860,7,53867
429,53904,61,53965
430,54032,6,54038
431,54071,8,54079
432,54095,3,54098
433,54167,6,54173
434,54248,18,54266
435,54294,50,54344
436,54419,41,54460
437,54480,93,54573
438,54729,28,54757
439,54797,21,54818
440,54880,49,54929
441,55006,29,55035
442,55062,27,55089
443,55126,1,55127
444,55162,16,55178
445,55528,19,55547
446,55695,2,55697
447,55722,12,55734
448,55741,1,55742
449,55787,8,55795
450,55900,14,55914
451,55925,32,55957
452,55983,24,56007
453,56017,16,56033
454,56054,1,56055
455,56194,43,56237
456,56276,4,56280
457,56328,3,56331
458,56598,2,56600
459,56689,9,56698
460,56749,35,56784
461,57041,8,57049
462,57215,2,57217
463,57360,8,57368
464,57403,18,57421
465,57635,40,57675
466,58054,13,58067
467,58105,2,58107
468,58199,51,58250
469,58419,27,58446
470,58698,5,58703
471,58717,47,58764
472,59144,34,59178
473,59251,36,59287
474,59548,8,59556
475,59560,22,59582
476,59644,2,59646
477,59882,10,59892
478,60019,5,60024
479,60056,22,60078
480,60110,40,60150
481,60160,6,60166
482,60261,3,60264
483,60400,23,60423
484,60684,34,60718
485,60818,33,60851
486,60905,21,60926
487,61044,45,61089
488,61211,6,61217
489,61257,11,61268
490,61302,28,61330
491,61413,6,61419
492,61427,15,61442
493,61443,8,61451
494,61556,10,61566
495,61731,5,61736
496,61755,12,61767
497,61919,6,61925
498,62102,5,62107
499,62290,41,62331
500,62348,77,62425
501,62474,30,62504
502,62522,18,62540
503,62942,5,62947
504,63061,21,63082
505,63098,88,63186
506,63207,9,63216
507,63280,13,63293
508,63355,19,63374
509,63568,13,63581
510,63623,21,63644
511,63668,6,63674
512,63730,17,63747
513,63817,53,63870
514,63955,7,63962
515,64053,4,64057
516,64121,35,64156
517,64195,4,64199
518,64246,64,64310
519,64343,76,64419
520,64490,29,64519
521,64575,9,64584
522,64620,84,64704
523,64897,60,64957
524,65054,8,65062
525,65141,47,65188
526,65323,26,65349
527,65367,1,65368
528,65445,21,65466
529,65506,14,65520
530,65572,13,65585
531,65630,7,65637
532,65676,31,65707
533,65781,11,65792
534,65921,28,65949
535,66040,10,66050
536,66210,10,66220
537,66483,3,66486
538,66530,13,66543
539,66879,16,66895
540,66935,1,66936
541,67142,7,67149
542,67354,29,67383
543,67430,6,67436
544,67562,2,67564
545,67716,55,67771
546,67928,18,67946
547,68058,31,68089
548,68220,8,68228
549,68266,44,68310
550,68363,11,68374
551,68437,22,68459
552,68509,18,68527
553,68533,8,68541
554,68602,9,68611
555,68717,10,68727
556,68840,2,68842
557,68863,14,68877
558,68882,19,68901
559,69051,28,69079
560,69312,26,69338
561,69341,1,69342
562,69433,63,69496
563,69674,20,69694
564,69788,5,69793
565,69846,39,69885
566,69887,23,69910
567,69956,4,69960
568,70047,81,70128
569,70160,57,70217
570,70363,16,70379
571,70444,6,70450
572,70500,3,70503
573,70649,1,70650
574,70664,16,70680
575,70950,2,70952
576,71032,1,71033
577,71053,31,71084
578,71097,40,71137
579,71143,12,71155
580,71250,33,71283
581,71307,27,71334
582,71668,36,71704
583,71712,12,71724
584,71799,10,71809
585,71818,48,71866
586,72088,21,72109
587,72170,46,72216
588,72469,23,72492
589,72660,2,72662
590,72803,10,72813
591,73218,16,73234
592,73262,1,73263
593,73322,22,73344
594,73469,3,73472
595,73607,18,73625
596,73958,17,73975
597,74075,11,74086
598,74227,11,74238
599,74260,10,74270
600,74372,6,74378
601,74695,9,74704
602,74706,13,74719
603,74786,15,74801
604,74943,16,74959
605,74981,19,75000
606,75081,30,75111
607,75311,3,75314
608,75445,1,75446
609,75696,5,75701
610,75717,31,75748
611,75854,69,75923
612,76303,12,76315
613,76405,18,76423
614,76466,12,76478
615,76614,17,76631
616,76727,2,76729
617,76788,1,76789
618,77200,5,77205
619,77242,2,77244
620,77299,34,77333
621,77365,6,77371
622,77556,41,77597
623,77660,3,77663
624,77745,3,77748
625,77797,55,77852
626,77864,33,77897
627,77923,51,77974
628,78004,21,78025
629,78307,40,78347
630,78377,97,78474
631,78644,10,78654
632,79046,10,79056
633,79109,7,79116
634,79320,46,79366
635,79378,7,79385
