,Steps,Success,Filtered
326,326,1,0.978021978021978
327,327,1,0.978021978021978
328,328,1,0.978021978021978
329,329,1,0.978021978021978
330,330,1,0.978021978021978
331,331,1,0.978021978021978
332,332,1,0.978021978021978
333,333,1,0.978021978021978
334,334,1,0.978021978021978
335,335,1,0.967032967032967
336,336,1,0.967032967032967
337,337,1,0.967032967032967
338,338,1,0.967032967032967
339,339,1,0.967032967032967
340,340,1,0.967032967032967
341,341,1,0.967032967032967
342,342,1,0.967032967032967
343,343,1,0.967032967032967
344,344,1,0.967032967032967
345,345,1,0.967032967032967
346,346,1,0.967032967032967
347,347,1,0.967032967032967
348,348,1,0.967032967032967
349,349,1,0.967032967032967
350,350,1,0.967032967032967
351,351,1,0.967032967032967
352,352,1,0.967032967032967
353,353,1,0.967032967032967
354,354,1,0.967032967032967
355,355,1,0.967032967032967
356,356,1,0.967032967032967
357,357,1,0.967032967032967
358,358,0,0.967032967032967
359,359,1,0.967032967032967
360,360,1,0.967032967032967
361,361,1,0.967032967032967
362,362,1,0.967032967032967
363,363,1,0.967032967032967
364,364,1,0.967032967032967
365,365,1,0.967032967032967
366,366,1,0.967032967032967
367,367,1,0.967032967032967
368,368,1,0.967032967032967
369,369,1,0.967032967032967
370,370,1,0.978021978021978
371,371,1,0.978021978021978
372,372,1,0.978021978021978
373,373,1,0.978021978021978
374,374,1,0.978021978021978
375,375,1,0.978021978021978
376,376,1,0.978021978021978
377,377,1,0.978021978021978
378,378,1,0.978021978021978
379,379,1,0.967032967032967
380,380,0,0.967032967032967
381,381,1,0.967032967032967
382,382,1,0.967032967032967
383,383,1,0.967032967032967
384,384,1,0.967032967032967
385,385,1,0.967032967032967
386,386,1,0.967032967032967
387,387,1,0.967032967032967
388,388,1,0.967032967032967
389,389,1,0.967032967032967
390,390,1,0.967032967032967
391,391,1,0.967032967032967
392,392,1,0.967032967032967
393,393,1,0.967032967032967
394,394,1,0.967032967032967
395,395,1,0.967032967032967
396,396,1,0.967032967032967
397,397,1,0.967032967032967
398,398,1,0.967032967032967
399,399,1,0.967032967032967
400,400,1,0.967032967032967
401,401,1,0.967032967032967
402,402,1,0.967032967032967
403,403,1,0.967032967032967
404,404,1,0.978021978021978
405,405,1,0.978021978021978
406,406,1,0.978021978021978
407,407,1,0.978021978021978
408,408,1,0.978021978021978
409,409,1,0.978021978021978
410,410,1,0.978021978021978
411,411,1,0.978021978021978
412,412,1,0.978021978021978
413,413,1,0.978021978021978
414,414,1,0.978021978021978
415,415,1,0.978021978021978
416,416,1,0.978021978021978
417,417,1,0.978021978021978
418,418,1,0.978021978021978
419,419,1,0.978021978021978
420,420,1,0.978021978021978
421,421,1,0.978021978021978
422,422,1,0.978021978021978
423,423,1,0.978021978021978
424,424,0,0.978021978021978
425,425,1,0.978021978021978
426,426,1,0.989010989010989
427,427,1,0.989010989010989
428,428,1,0.989010989010989
429,429,1,0.989010989010989
430,430,1,0.989010989010989
431,431,1,0.989010989010989
432,432,1,0.989010989010989
