,Redundancy,SuccessRate,PER
359,54.0,0.9928834407112973,0.6
360,55.0,0.9943635498019046,0.6
361,56.0,0.9955529231782853,0.6
362,57.0,0.99650442187939,0.6
363,58.0,0.9972623398102699,0.6
364,59.0,0.9978635357283234,0.6
365,60.0,0.9983384805035861,0.6
366,0.0,3.486788635598259e-11,0.7
367,1.0,5.230176292059241e-10,0.7
368,2.0,4.110918827571197e-09,0.7
369,3.0,2.2528811371991253e-08,0.7
370,4.0,9.666082889658867e-08,0.7
371,5.0,3.457444079923988e-07,0.7
372,6.0,1.0722381801331338e-06,0.7
373,7.0,2.961121987721249e-06,0.7
374,8.0,7.423609983070456e-06,0.7
375,9.0,1.714191717305802e-05,0.7
376,10.0,3.6870080768802715e-05,0.7
377,11.0,7.453293854242649e-05,0.7
378,12.0,0.00014263993968299804,0.7
379,13.0,0.0002599935416482957,0.7
380,14.0,0.0004536269848911534,0.7
381,15.0,0.0007608587148363322,0.7
382,16.0,0.0012313073013149323,0.7
383,17.0,0.0019286781471539172,0.7
384,18.0,0.002932117308666604,0.7
385,19.0,0.004336932134784366,0.7
386,20.0,0.006254504372435021,0.7
387,21.0,0.008811267355969377,0.7
388,22.0,0.012146680884489114,0.7
389,23.0,0.016410209481814264,0.7
390,24.0,0.02175738493095969,0.7
391,25.0,0.028345105084306765,0.7
392,26.0,0.03632638142393885,0.7
393,27.0,0.04584479246601858,0.7
394,28.0,0.05702892544046234,0.7
395,29.0,0.06998709330050745,0.7
396,30.0,0.08480259855382566,0.7
397,31.0,0.10152978190434636,0.7
398,32.0,0.12019104582977091,0.7
399,33.0,0.14077498543236033,0.7
400,34.0,0.16323569599871546,0.7
401,35.0,0.18749326341037875,0.7
402,36.0,0.2134353841145189,0.7
403,37.0,0.2409200092929591,0.7
404,38.0,0.2697788657303215,0.7
405,39.0,0.2998216752522934,0.7
406,40.0,0.3308408760837295,0.7
407,41.0,0.3626166427891029,0.7
408,42.0,0.3949220056062328,0.7
409,43.0,0.42752788342631254,0.7
410,44.0,0.46020786551416526,0.7
411,45.0,0.4927426032371831,0.7
412,46.0,0.5249237025066897,0.7
413,47.0,0.5565570383843754,0.7
414,48.0,0.5874654436481973,0.7
415,49.0,0.617490751618767,0.7
416,50.0,0.6464951991183372,0.7
417,51.0,0.6743622173041988,0.7
418,52.0,0.7009966558395319,0.7
419,53.0,0.7263244992769055,0.7
420,54.0,0.7502921437148644,0.7
421,55.0,0.7728653070218869,0.7
422,56.0,0.7940276476222217,0.7
423,57.0,0.813779165515867,0.7
424,58.0,0.8321344554204785,0.7
425,59.0,0.8491208762474584,0.7
426,60.0,0.8647766941096574,0.7
427,0.0,1.0436096431476471e-14,0.8
428,1.0,1.7830181775480014e-13,0.8
429,2.0,1.5875079029115113e-12,0.8
430,3.0,9.855338767295052e-12,0.8
431,4.0,4.788724972115688e-11,0.8
432,5.0,1.9392987216093616e-10,0.8
433,6.0,6.807386876417354e-10,0.8
434,7.0,2.1272561490093267e-09,0.8
435,8.0,6.032853439030816e-09,0.8
436,9.0,1.575345098814296e-08,0.8
437,10.0,3.830523742642811e-08,0.8
438,11.0,8.750913504940172e-08,0.8
439,12.0,1.8919719002585822e-07,0.8
440,13.0,3.894444368102157e-07,0.8
441,14.0,7.670535306925075e-07,0.8
442,15.0,1.4517846876893614e-06,0.8
443,16.0,2.6500642125171225e-06,0.8
444,17.0,4.680090701536521e-06,0.8
445,18.0,8.018356483452393e-06,0.8
446,19.0,1.3359581734539994e-05,0.8
447,20.0,2.16918931262855e-05,0.8
448,21.0,3.4388748580416184e-05,0.8
449,22.0,5.331860580282122e-05,0.8
450,23.0,8.0972658093037e-05,0.8
451,24.0,0.00012061013304232038,0.8
452,25.0,0.00017641969777082434,0.8
453,26.0,0.000253694479702693,0.8
454,27.0,0.00035901714544672725,0.8
455,28.0,0.0005004504394460207,0.8
456,29.0,0.0006877276287415857,0.8
457,30.0,0.0009324364894210957,0.8
458,31.0,0.001248189858039872,0.8
459,32.0,0.0016507754030288257,0.8
460,33.0,0.0021582771809541823,0.8
461,34.0,0.002791161751072968,0.8
462,35.0,0.003572322134762329,0.8
463,36.0,0.00452707371482719,0.8
464,37.0,0.005683097249608471,0.8
465,38.0,0.007070325491346008,0.8
466,39.0,0.008720771399464367,0.8
467,40.0,0.01066829757104415,0.8
468,41.0,0.012948328210942384,0.8
469,42.0,0.015597506668728944,0.8
470,43.0,0.018653303215385053,0.8
471,44.0,0.0221535792597366,0.8
472,45.0,0.02613611555908779,0.8
473,46.0,0.030638113114875964,0.8
474,47.0,0.03569567632648474,0.8
475,48.0,0.04134328857944802,0.8
476,49.0,0.047613290754166426,0.8
477,50.0,0.05453537315505552,0.8
478,51.0,0.06213609108544349,0.8
479,52.0,0.0704384137478673,0.8
480,53.0,0.07946131535835055,0.8
481,54.0,0.08921941635931763,0.8
482,55.0,0.09972268143672214,0.8
483,56.0,0.11097617973394136,0.8
484,57.0,0.12297991125097518,0.8
485,58.0,0.13572870196561793,0.8
486,59.0,0.14921216875534182,0.8
487,60.0,0.16341475377385084,0.8
