,x,SuccessRate,SuccessRateUnmixed,PER,RedundancyUsedMin,RedundancyUsed,RedundancyUsedMax,Lost,FaultsUnmixed,WorseDiffRngmixedRlnc,WorseDiffRepeatmixedRlnc
16,0.16245454545454546,0.94,0.54,0.54,0.30383333333333334,0.0,47.23404255319149,185.0,18.23,0.3999999999999999,0.3999999999999999
17,0.17254545454545456,0.97,0.65,0.65,0.27266666666666667,0.0,39.22680412371134,180.0,16.36,0.31999999999999995,0.31999999999999995
18,0.18263636363636365,0.96,0.62,0.62,0.302,0.0,42.5,180.0,18.12,0.33999999999999997,0.33999999999999997
19,0.19272727272727275,0.99,0.6,0.6,0.286,0.0,46.61616161616162,180.0,17.16,0.39,0.39
20,0.20281818181818184,0.99,0.51,0.51,0.305,0.0,50.90909090909091,195.0,18.3,0.48,0.48
21,0.2129090909090909,0.99,0.55,0.55,0.30333333333333334,0.0,49.242424242424235,195.0,18.2,0.43999999999999995,0.43999999999999995
22,0.223,0.98,0.54,0.54,0.32366666666666666,0.0,48.673469387755105,180.0,19.42,0.43999999999999995,0.43999999999999995
23,0.2330909090909091,0.96,0.54,0.54,0.31433333333333335,0.0,52.60416666666667,195.0,18.86,0.41999999999999993,0.41999999999999993
24,0.2431818181818182,1.0,0.53,0.53,0.311,0.0,52.0,195.0,18.66,0.47,0.47
25,0.25327272727272726,1.0,0.62,0.62,0.29033333333333333,0.0,47.300000000000004,170.0,17.42,0.38,0.38
26,0.26336363636363636,0.98,0.6,0.6,0.2905,0.0,44.94897959183673,175.0,17.43,0.38,0.38
27,0.27345454545454545,1.0,0.51,0.51,0.31683333333333336,0.0,50.75,185.0,19.01,0.49,0.49
28,0.28354545454545454,0.99,0.55,0.55,0.30416666666666664,0.0,44.848484848484844,150.0,18.25,0.43999999999999995,0.43999999999999995
29,0.29363636363636364,1.0,0.57,0.57,0.302,0.0,49.1,190.0,18.12,0.43000000000000005,0.43000000000000005
30,0.30372727272727273,1.0,0.58,0.58,0.30583333333333335,0.0,48.45,200.0,18.35,0.42000000000000004,0.42000000000000004
31,0.31381818181818183,0.99,0.61,0.61,0.28683333333333333,0.0,44.29292929292929,190.0,17.21,0.38,0.38
32,0.3239090909090909,1.0,0.75,0.75,0.27,0.0,40.9,180.0,16.2,0.25,0.25
33,0.334,1.0,0.58,0.58,0.2921666666666667,0.0,48.05,160.0,17.53,0.42000000000000004,0.42000000000000004
34,0.3440909090909091,0.98,0.54,0.54,0.30583333333333335,0.0,45.102040816326536,160.0,18.35,0.43999999999999995,0.43999999999999995
35,0.3541818181818182,0.99,0.6,0.6,0.29333333333333333,0.0,44.34343434343434,150.0,17.6,0.39,0.39
36,0.3642727272727273,0.99,0.48,0.48,0.32233333333333336,0.0,48.88888888888889,170.0,19.34,0.51,0.51
37,0.3743636363636364,1.0,0.58,0.58,0.2921666666666667,0.0,45.5,185.0,17.53,0.42000000000000004,0.42000000000000004
38,0.3844545454545455,1.0,0.63,0.63,0.28983333333333333,0.0,47.35000000000001,150.0,17.39,0.37,0.37
39,0.3945454545454546,1.0,0.59,0.59,0.2895,0.0,42.64999999999999,170.0,17.37,0.41000000000000003,0.41000000000000003
40,0.4046363636363637,1.0,0.63,0.63,0.29133333333333333,0.0,44.55,180.0,17.48,0.37,0.37
41,0.4147272727272727,0.99,0.58,0.58,0.303,0.0,48.080808080808076,155.0,18.18,0.41000000000000003,0.41000000000000003
42,0.4248181818181818,1.0,0.62,0.62,0.28833333333333333,0.0,41.35,155.0,17.3,0.38,0.38
43,0.4349090909090909,1.0,0.56,0.56,0.305,0.0,44.2,135.0,18.3,0.43999999999999995,0.43999999999999995
44,0.445,1.0,0.5,0.5,0.31883333333333336,0.0,49.95,130.0,19.13,0.5,0.5
45,0.4550909090909091,1.0,0.55,0.55,0.2935,0.0,39.45,145.0,17.61,0.44999999999999996,0.44999999999999996
46,0.4651818181818182,1.0,0.45,0.45,0.308,0.0,47.1,140.0,18.48,0.55,0.55
47,0.4752727272727273,1.0,0.54,0.54,0.29633333333333334,0.0,43.25,135.0,17.78,0.45999999999999996,0.45999999999999996
48,0.4853636363636364,1.0,0.59,0.59,0.2946666666666667,0.0,46.39999999999999,155.0,17.68,0.41000000000000003,0.41000000000000003
49,0.4954545454545455,1.0,0.63,0.63,0.30316666666666664,0.0,46.39999999999999,170.0,18.19,0.37,0.37
50,0.5055454545454545,1.0,0.63,0.63,0.29483333333333334,0.0,44.9,170.0,17.69,0.37,0.37
51,0.5156363636363637,1.0,0.5,0.5,0.31633333333333336,5.0,50.1,135.0,18.98,0.5,0.5
52,0.5257272727272727,1.0,0.48,0.48,0.30233333333333334,0.0,45.3,165.0,18.14,0.52,0.52
